id_cliente,nome,email,telefone,renda_mensal,score_credito,historico_inadimplente,localidade_interesse,tipo_imovel_interesse,data_cadastro
CLI-50000,Stella Ferreira,vcassiano@example.org,+55 61 7098-5646,29368.0,588.0,,Lago Sul,Casa,
CLI-50001,Vitor Gabriel da Rosa,kfreitas@example.org,67 5524-9327,13006.0,810.0,1.0,,Casa,2026-07-09
CLI-50002,Ravy Duarte,qlopes@example.org,+55 87 5884-8907,42934.0,870.0,,Sudoeste / Octogonal,Casa,2025-12-30
CLI-50003,Heloisa Lima,garciadiego@example.org,21 7324-6828,9718.0,864.0,0.0,Jardim Botânico,Casa,2026-02-23
CLI-50004,Davi Miguel Mendonça,macedomelina@example.org,+55 73 3610-9761,19177.0,979.0,0.0,Sudoeste / Octogonal,Apartamento,2025-10-19
CLI-50005,Mirella Pacheco,tgarcia@example.com,48 4999-3618,6659.0,310.0,1.0,Águas Lindas de Goiás,Casa,2025-11-02
CLI-50006,Kamilly Pinto,cporto@example.net,+55 18 6647-2377,3795.0,554.0,0.0,Taguatinga,Casa,2025-10-24
CLI-50007,Carlos Eduardo Guerra,ygomes@example.net,64 9728-3432,31839.0,672.0,0.0,Asa Sul,,2026-03-21
CLI-50008,Maria Isis Melo,sousaluiz-fernando@example.com,,9589.0,427.0,0.0,,Apartamento,2026-08-02
CLI-50009,Lucca Mendonça,pedro-henriquecassiano@example.net,+55 48 7786-0829,11417.0,899.0,0.0,Guará,Casa,2026-03-22
CLI-50010,Brayan Macedo,ravy67@example.org,+55 88 6628-4016,3181.0,675.0,1.0,Valparaíso de Goiás,Casa,2026-08-24
CLI-50011,João Pedro da Cruz,portofrancisco@example.com,71 4463-2570,42259.0,962.0,0.0,Asa Sul,Apartamento,2026-03-10
CLI-50012,Manuela da Mata,,32 1363-1971,7643.0,401.0,,Águas Claras,,2026-01-29
CLI-50013,Josué da Cunha,isabellapinto@example.net,53 3774-6883,5414.0,322.0,0.0,Valparaíso de Goiás,Casa,
CLI-50014,Kamilly Cardoso,pedro-lucas96@example.net,77 4977-7130,3510.0,683.0,0.0,Ceilândia,Apartamento,2026-07-18
CLI-50015,Sr. José Pedro da Rosa,ian12@example.net,49 7155-9146,12581.0,625.0,0.0,Jardim Botânico,Apartamento,2026-02-03
CLI-50016,Raquel Costela,,+55 53 2086-3553,4929.0,843.0,0.0,Ceilândia,Apartamento,2026-08-25
CLI-50017,Elisa Fogaça,pedro-lucascavalcanti@example.com,+55 28 3575-8086,,,1.0,,Casa,2026-09-23
CLI-50018,Isis Sampaio,da-mataluana@example.org,+55 98 6547-0281,10884.0,,0.0,Guará,Apartamento,2026-02-19
CLI-50019,Mirella Alves,sousalorena@example.com,+55 42 4063-4618,29623.0,899.0,0.0,Lago Norte,Apartamento,2026-07-05
CLI-50020,Srta. Ana Cecília Gomes,oliviaalves@example.com,+55 41 8721-0146,30142.0,793.0,1.0,Asa Sul,Casa,2026-06-24
CLI-50021,Ana Luiza Fonseca,garciaisabella@example.net,79 3066-1761,4301.0,,0.0,Taguatinga,Casa,2026-02-28
CLI-50022,Maysa Azevedo,andradeliam@example.org,+55 14 1893-1179,13677.0,,0.0,Jardim Botânico,Apartamento,2026-07-29
CLI-50023,,,,3842.0,429.0,0.0,,Apartamento,2026-08-28
CLI-50024,Lucas Gabriel da Rocha,anthony-gabriel66@example.org,+55 32 9441-5365,6940.0,386.0,1.0,Taguatinga,Apartamento,2026-06-20
CLI-50025,,franciscocirino@example.org,35 2192-0160,5512.0,660.0,0.0,Ceilândia,Casa,2026-07-25
CLI-50026,Dr. Rafael Costa,da-pazjoao-vitor@example.com,73 3627-2737,4953.0,747.0,0.0,Valparaíso de Goiás,Apartamento,2026-07-23
CLI-50027,Ana Vitória Araújo,das-nevesmaite@example.com,82 6731-8390,11880.0,528.0,0.0,Jardim Botânico,Casa,2026-08-19
CLI-50028,Ester Pires,da-rosavitoria@example.com,+55 43 2165-4776,5683.0,726.0,0.0,Valparaíso de Goiás,Casa,2025-11-27
CLI-50029,Srta. Letícia Albuquerque,luiz-miguelda-costa@example.org,+55 37 4885-7632,30389.0,564.0,0.0,Noroeste,Casa,
CLI-50030,Aylla Cavalcanti,qpimenta@example.com,48 1911-5143,4512.0,353.0,1.0,Valparaíso de Goiás,Casa,2025-10-15
CLI-50031,Luana Sampaio,dmartins@example.com,+55 14 7341-0333,,,0.0,Águas Claras,Apartamento,2026-09-23
CLI-50032,Dra. Ana Laura Cassiano,sda-mata@example.com,44 8265-7831,8072.0,487.0,1.0,Jardim Botânico,Casa,2025-11-06
CLI-50033,Francisco Cassiano,rferreira@example.org,+55 96 7015-1326,5969.0,880.0,0.0,Samambaia,Casa,2026-01-11
